name,genre,director,star_1,star_2,star_3,star_4,description
Avatar,"Action, Adventure, Fantasy",James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,"$2,922,917,914"
Avengers: Endgame,"Action, Adventure, Drama",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"$2,797,501,328"
Titanic,"Drama, Romance",James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,"$2,201,647,264"
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,"$2,069,521,700"
Avengers: Infinity War,"Action, Adventure, Sci-Fi",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,"$2,048,359,754"
Spider-Man: No Way Home,"Action, Adventure, Fantasy",Jon Watts,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,"$1,916,306,995"
Jurassic World,"Action, Adventure, Sci-Fi",Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer,"$1,671,537,444"
The Lion King,"Animation, Adventure, Drama",Jon Favreau,Donald Glover,Beyoncé,Seth Rogen,Chiwetel Ejiofor,"$1,663,075,401"
The Avengers,"Action, Sci-Fi",Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,"$1,518,815,515"
Avatar: The Way of Water,"Action, Adventure, Fantasy",James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,"$1,516,558,728"
Fast & Furious 7,"Action, Crime, Thriller",James Wan,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,"$1,515,341,399"
Top Gun: Maverick,"Action, Drama",Joseph Kosinski,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,"$1,488,732,821"
Frozen II,"Animation, Adventure, Comedy",Chris Buck,Jennifer Lee,Kristen Bell,Idina Menzel,Josh Gad,"$1,450,026,933"
Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,"$1,402,809,540"
Black Panther,"Action, Adventure, Sci-Fi",Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,"$1,382,248,826"
Harry Potter and the Deathly Hallows - Part 2,"Adventure, Family, Fantasy",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,"$1,342,359,942"
Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,"$1,332,698,830"
Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith,"$1,310,466,296"
Frozen,"Animation, Adventure, Comedy",Chris Buck,Jennifer Lee,Kristen Bell,Idina Menzel,Jonathan Groff,"$1,281,508,100"
Beauty and the Beast,"Adventure, Family, Fantasy",Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Josh Gad,"$1,264,435,322"
Incredibles 2,"Animation, Action, Adventure",Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,"$1,243,089,244"
The Fate of the Furious,"Action, Crime, Thriller",F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez,"$1,236,005,118"
Iron Man Three,"Action, Adventure, Sci-Fi",Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,"$1,214,811,252"
Minions,"Animation, Adventure, Comedy",Kyle Balda,Pierre Coffin,Sandra Bullock,Jon Hamm,Michael Keaton,"$1,159,444,662"
Captain America: Civil War,"Action, Sci-Fi",Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,"$1,153,337,496"
Aquaman,"Action, Adventure, Fantasy",James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,"$1,148,528,393"
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"$1,146,457,748"
Spider-Man: Far from Home,"Action, Adventure, Comedy",Jon Watts,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Marisa Tomei,"$1,131,927,996"
Captain Marvel,"Action, Adventure, Sci-Fi",Anna Boden,Ryan Fleck,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,"$1,128,462,972"
Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,Josh Duhamel,"$1,123,794,079"
Jurassic Park,"Action, Adventure, Sci-Fi",Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,"$1,109,802,321"
Skyfall,"Action, Adventure, Thriller",Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,"$1,108,569,499"
Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",Michael Bay,Mark Wahlberg,Nicola Peltz Beckham,Jack Reynor,Stanley Tucci,"$1,104,054,072"
The Dark Knight Rises,"Action, Drama",Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"$1,081,169,825"
Joker,"Crime, Drama, Thriller",Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,"$1,074,458,282"
Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy",J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Adam Driver,"$1,074,149,279"
Toy Story 4,"Animation, Adventure, Comedy",Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,"$1,073,394,593"
Toy Story 3,"Animation, Adventure, Comedy",Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,"$1,066,970,811"
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy",Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Jack Davenport,"$1,066,179,747"
Rogue One,"Action, Adventure, Sci-Fi",Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,"$1,058,682,142"
Aladdin,"Adventure, Comedy, Family",Guy Ritchie,Will Smith,Mena Massoud,Naomi Scott,Marwan Kenzari,"$1,050,693,953"
Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane,Geoffrey Rush,"$1,045,713,802"
Despicable Me 3,"Animation, Adventure, Comedy",Kyle Balda,Pierre Coffin,Eric Guillon,Steve Carell,Kristen Wiig,"$1,034,800,131"
Finding Dory,"Animation, Adventure, Comedy",Andrew Stanton,Angus MacLane,Ellen DeGeneres,Albert Brooks,Ed O'Neill,"$1,028,570,942"
Star Wars: Episode I - The Phantom Menace,"Action, Adventure, Fantasy",George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,"$1,027,082,707"
Alice in Wonderland,"Adventure, Family, Fantasy",Tim Burton,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway,"$1,025,468,216"
Zootopia,"Animation, Adventure, Comedy",Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,"$1,024,121,104"
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,"$1,023,842,938"
The Hobbit: An Unexpected Journey,Fantasy,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,"$1,017,030,651"
The Dark Knight,"Action, Crime, Drama",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"$1,006,234,167"
Jurassic World: Dominion,"Action, Adventure, Sci-Fi",Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Laura Dern,Sam Neill,"$1,001,978,080"
Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",Jake Kasdan,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,"$995,339,117"
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,"$977,070,383"
Despicable Me 2,"Animation, Adventure, Comedy",Pierre Coffin,Chris Renaud,Steve Carell,Kristen Wiig,Benjamin Bratt,"$970,766,005"
The Lion King,"Animation, Adventure, Drama",Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,"$968,511,805"
The Jungle Book,"Adventure, Drama, Family",Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,"$966,554,929"
The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Cate Blanchett,"$962,201,338"
Pirates of the Caribbean: At World's End,"Action, Adventure, Fantasy",Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush,"$960,996,492"
The Hobbit: The Desolation of Smaug,Fantasy,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,"$959,027,992"
Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy",Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong,"$955,775,804"
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"$947,944,270"
Harry Potter and the Order of the Phoenix,"Action, Adventure, Family",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Brendan Gleeson,"$942,256,902"
Finding Nemo,"Animation, Adventure, Comedy",Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,"$940,352,645"
Minions: The Rise of Gru,"Animation, Adventure, Comedy",Kyle Balda,Brad Ableson,Jonathan del Val,Steve Carell,Pierre Coffin,"$939,628,210"
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,"$934,504,700"
Shrek 2,"Animation, Adventure, Comedy",Andrew Adamson,Kelly Asbury,Conrad Vernon,Mike Myers,Eddie Murphy,"$928,760,770"
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris,"$925,054,421"
Bohemian Rhapsody,"Biography, Drama, Music",Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,"$910,809,311"
Chang jin hu,"Action, Drama, History",Kaige Chen,Dante Lam,Hark Tsui,Jianxin Huang,Haiqiang Ning,"$902,548,476"
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"$898,204,420"
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,"$896,815,106"
Spider-Man 3,"Action, Adventure, Sci-Fi",Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church,"$894,983,373"
The Secret Life of Pets,"Animation, Adventure, Comedy",Chris Renaud,Louis C.K.,Eric Stonestreet,Kevin Hart,Lake Bell,"$894,328,469"
Ice Age: Dawn of the Dinosaurs,"Animation, Adventure, Comedy",Carlos Saldanha,Michael Thurmeier,Ray Romano,John Leguizamo,Denis Leary,"$886,686,817"
Spectre,"Action, Adventure, Thriller",Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,"$880,705,312"
Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,"$880,166,924"
Ice Age: Continental Drift,"Animation, Adventure, Comedy",Steve Martino,Michael Thurmeier,Ray Romano,Denis Leary,John Leguizamo,"$877,244,782"
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,"$873,637,528"
Zhan lang II,"Action, Adventure, Drama",Jing Wu,Jing Wu,Frank Grillo,Celina Jade,Gang Wu,"$870,325,439"
Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,Samuel L. Jackson,"$868,390,560"
The Hunger Games: Catching Fire,"Action, Adventure, Sci-Fi",Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Philip Seymour Hoffman,"$865,011,746"
